Abraham Lincoln*https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Abraham_Lincoln_head_on_shoulders_photo_portrait.jpg/1024px-Abraham_Lincoln_head_on_shoulders_photo_portrait.jpg
Barack Hussein Obama*https://upload.wikimedia.org/wikipedia/commons/8/8d/President_Barack_Obama.jpg
Eleanor Roosevelt*https://upload.wikimedia.org/wikipedia/commons/2/26/Eleanor_Roosevelt_at_United_Nations.png
Dwight David Eisenhower*https://upload.wikimedia.org/wikipedia/commons/6/63/Dwight_D._Eisenhower%2C_official_photo_portrait%2C_May_29%2C_1959.jpg
Douglas MacArthur*https://upload.wikimedia.org/wikipedia/commons/thumb/8/89/DouglasMacArthur1945.jpg/1024px-DouglasMacArthur1945.jpg
Franklin Delano Roosevelt*https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/FDR_in_1933.jpg/1024px-FDR_in_1933.jpg
George W Bush*https://upload.wikimedia.org/wikipedia/commons/d/d4/George-W-Bush.jpeg
Harry S Truman*https://upload.wikimedia.org/wikipedia/commons/a/a6/Harry_S_Truman_-_NARA_-_530677_%282%29.jpg
Hillary Rodham Clinton*https://upload.wikimedia.org/wikipedia/commons/thumb/2/27/Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg/1024px-Hillary_Clinton_official_Secretary_of_State_portrait_crop.jpg
Jimmy Earl Carter*https://upload.wikimedia.org/wikipedia/commons/5/5a/JimmyCarterPortrait2.jpg
John Fitzgerald Kennedy*https://upload.wikimedia.org/wikipedia/commons/5/5e/John_F._Kennedy%2C_White_House_photo_portrait%2C_looking_up.jpg
Lyndon Baines Johnson*https://upload.wikimedia.org/wikipedia/commons/c/c3/37_Lyndon_Johnson_3x4.jpg
Martin Luther King Jr.*https://upload.wikimedia.org/wikipedia/commons/8/84/Martin_Luther_King_Jr_NYWTS.jpg
Richard Milhous Nixon*https://upload.wikimedia.org/wikipedia/commons/thumb/4/4c/Richard_M._Nixon%2C_head-and-shoulders_portrait%2C_facing_front.tif/lossy-page1-1024px-Richard_M._Nixon%2C_head-and-shoulders_portrait%2C_facing_front.tif.jpg
Robert Francis Kennedy*https://upload.wikimedia.org/wikipedia/commons/b/bd/Robert_F_Kennedy_crop.jpg
Ronald Reagan*https://upload.wikimedia.org/wikipedia/commons/1/16/Official_Portrait_of_President_Reagan_1981.jpg
Ted Kennedy*https://upload.wikimedia.org/wikipedia/commons/0/02/TedKennedy%28D-MA%29.jpg
William Jefferson Clinton*https://upload.wikimedia.org/wikipedia/commons/4/49/44_Bill_Clinton_3x4.jpg
